Topic,Description,Tags,date,author
Desert spiny lizard,"Supplement R Abd Bursa/Lig with Autol Sub, Open Approach",Sceloporus;magister,10/28/2021,Rice Phettis
"Squirrel, red","Removal of Stim Lead from Anal Sphincter, Perc Endo Approach",Tamiasciurus;hudsonicus,7/6/2021,Hartwell Peterffy
Water legaan,"Occlusion of Right Foot Artery, Open Approach",Varanus;salvator,7/4/2021,Maddie Iacobacci
"Rhinoceros, white","Insertion of Spacer into R Sacroiliac Jt, Perc Approach",Ceratotherium;simum,8/20/2021,Shellysheldon Ivanovic
"Kingfisher, white-throated","Dilate L Com Iliac Art w 3 Intralum Dev, Perc Endo",Halcyon;smyrnesis,2/27/2022,Jamison Minchell
Little brown bat,"Introduction of Nutritional into Fem Reprod, Via Opening",Myotis;lucifugus,6/2/2021,Edwina Laughton
Common goldeneye,"Bypass L Ext Iliac Art to B Ext Ilia w Nonaut Sub, Perc Endo",Bucephala;clangula,11/1/2021,Torrence Sutworth
African ground squirrel (unidentified),"Drainage of Pericard Cav with Drain Dev, Perc Endo Approach",Xerus;sp.,2/9/2022,Stacee Dossetter
"Starling, cape","Release Tonsils, External Approach",Lamprotornis;nitens,3/15/2022,Erskine Sedman
Gerenuk,"Bypass Left Fallopian Tube to L Fallop, Open Approach",Litrocranius;walleri,4/23/2021,Risa Soldner
"Lechwe, kafue flats","Destruction of Right Upper Eyelid, External Approach",Kobus;leche;robertsi,3/20/2022,Rocky Timmens
"Dunnart, fat-tailed","Ultrasonography of Right Lower Extremity Arteries, Intravasc",Smithopsis;crassicaudata,1/6/2022,Dwight Valenti
White-fronted bee-eater,"Drainage of Left Colic Artery with Drain Dev, Perc Approach",Merops;bullockoides,11/8/2021,Lucais Shellshear
Egyptian cobra,"Respiratory System, Reposition",Naja;haje,11/20/2021,Addison Footer
"Sandgrouse, yellow-throated",Nonimag Nucl Med Prob of Up Extrem using Indium 111,Pterocles;gutturalis,7/27/2021,Akim Palfery
"Peacock, blue","Fusion Cerv Jt w Intbd Fus Dev, Ant Appr A Col, Perc",Pavo;cristatus,8/6/2021,Marlie Hamshar
Western lowland gorilla,HDR Brachytherapy of L Breast using Cesium 137,Gorilla;gorilla,8/9/2021,Cassey Chalk
"Wildebeest, blue","Excision of Left Upper Eyelid, Percutaneous Approach, Diagn",Connochaetus;taurinus,7/9/2021,Kendell Dutson
Grey mouse lemur,"Removal of Infusion Device from GU Tract, Via Opening",Microcebus;murinus,7/30/2021,Adriano Maffiotti
Giant anteater,"Removal of Synth Sub from L Ankle Jt, Perc Approach",Myrmecophaga;tridactyla,4/22/2021,Malorie Cauldfield
"Squirrel, uinta ground","Removal of Infusion Dev from R Acromioclav Jt, Perc Approach",Spermophilus;armatus,11/22/2021,Noelyn Sebring
"Buffalo, wild water","Bypass L Ureter to L Ureter with Nonaut Sub, Open Approach",Bubalus;arnee,1/16/2022,Cal McCoish
Tropical buckeye butterfly,"Dilate L Less Saphenous w Intralum Dev, Perc Endo",Junonia;genoveua,5/16/2021,Rickert Canario
"Cockatoo, slender-billed","Bypass 2 Cor Art from L Int Mammary w Synth Sub, Perc Endo",Cacatua;tenuirostris,10/7/2021,Maddi Arlott
"Sloth, hoffman's","Excision of Lumbar Nerve, Percutaneous Approach, Diagnostic",Choloepus;hoffmani,5/20/2021,Ardyth Linney
Common wallaroo,"Removal of Nonaut Sub from Nose, Perc Approach",Macropus;robustus,8/19/2021,Wald Bassford
European spoonbill,Planar Nucl Med Imag of Low Extrem using Technetium 99m,Platalea;leucordia,3/8/2022,Jedidiah Gabbotts
"Loris, slender","Dilate R Subclav Art, Bifurc, w 3 Drug-elut, Open",Loris;tardigratus,10/24/2021,Elfreda McCue
Blue-tongued skink,"Revision of Int Fix in L Thumb Phalanx, Perc Approach",Tiliqua;scincoides,9/1/2021,Cyrus Braycotton
Field flicker,Beam Radiation of Other Bone using Neutron Capture,Colaptes;campestroides,12/26/2021,Jed Pires
"Vulture, king","Destruction of Left Acetabulum, Open Approach",Sarcorhamphus;papa,4/13/2022,Meghann Mewe
Paca,"Insertion of Endobronchial Valve into R Main Bronc, Endo",Agouti;paca,7/21/2021,Annalise Stelli
Ring-tailed gecko,LDR Brachytherapy of Oropharynx using Palladium 103,Cyrtodactylus;louisiadensis,4/11/2022,Ardis Gynni
Yellow-necked spurfowl,"Upper Veins, Destruction",Francolinus;leucoscepus,6/12/2021,Bili Atkins
"Kudu, greater","Insertion of Infusion Device into L Pulm Art, Perc Approach",Tragelaphus;strepsiceros,5/16/2021,Lorna Rendbaek
"Teal, hottentot","Revision of Nonaut Sub in Stomach, Extern Approach",Anas;punctata,11/13/2021,Camila Barriball
"Polecat, african","Replacement of R Low Eyelid with Nonaut Sub, Perc Approach",Ictonyx;striatus,11/21/2021,Christoforo Mawd
Herring gull,"Replacement of L Maxilla with Synth Sub, Perc Endo Approach",unavailable,1/27/2022,Trudey Huyton
Common goldeneye,"Fusion of Right Knee Joint with Nonaut Sub, Open Approach",Bucephala;clangula,6/7/2021,Daren McGougan
"Constrictor, eastern boa","Measurement of Gastrointestinal Motility, Via Opening",Acrantophis;madagascariensis,12/6/2021,Luisa Karpmann
"Grouse, sage","Restriction of Bladder Neck with Intralum Dev, Open Approach",Centrocercus;urophasianus,4/1/2022,Doll Florez
White-fronted capuchin,"Removal of Infusion Device from R Low Extrem, Perc Approach",Cebus;albifrons,3/24/2022,Leontine Doles
Barasingha deer,"Revision of Drainage Device in L Up Extrem, Open Approach",Cervus;duvauceli,6/18/2021,Connor Petruskevich
Palm squirrel,Plain Radiography of Left Kidney,Funambulus;pennati,4/22/2021,Giff Harwick
"Flamingo, roseat","Repair Right Colic Artery, Percutaneous Approach",Phoenicopterus;ruber,8/25/2021,Gabey Parffrey
"Roller, lilac-breasted","Insert Intspin Prcs Stabl Dev in Cerv Jt, Perc Endo",Coracias;caudata,8/10/2021,Sallyann Moorhouse
Gerbil (unidentified),"Supplement L Lacrimal Bone w Synth Sub, Perc Endo",Gerbillus;sp.,7/12/2021,Netta Esberger
Bleeding heart monkey,"Drainage of Left Metatarsal-Tarsal Joint, Perc Approach",Theropithecus;gelada,8/21/2021,Andree Cisco
Toddy cat,"Drainage of Sacrum, Percutaneous Approach, Diagnostic",Paradoxurus;hermaphroditus,8/24/2021,Gorden Cano
"Phalarope, northern","Removal of Autol Sub from R Metatarsophal Jt, Open Approach",Phalaropus;lobatus,6/21/2021,Carroll Britto
"Lion, mountain","Insertion of Radioactive Element into Esophag, Open Approach",Felis;concolor,1/14/2022,Enrichetta Breadon
"Stork, openbill","Extirpation of Matter from Left Carotid Body, Perc Approach",Anastomus;oscitans,1/4/2022,Randal Makey
"Lizard, desert spiny","Release Left Scapula, Open Approach",Sceloporus;magister,6/25/2021,Zaccaria Mullord
Red-winged blackbird,"Dilation of L Popl Art with 3 Drug-elut, Open Approach",Agelaius;phoeniceus,5/4/2021,Netti Cheetham
Blue-tongued lizard,"Restriction of Jejunum, Percutaneous Endoscopic Approach",Tiliqua;scincoides,2/15/2022,Raeann Murricanes
Red-winged hawk (unidentified),HDR Brachytherapy of Prostate using Iodine 125,unavailable,10/14/2021,Demetrius Mullord
"Cockatoo, long-billed","Dilation of L Com Carotid with 3 Intralum Dev, Perc Approach",Cacatua;tenuirostris,11/30/2021,Pierette Chaffen
Common genet,"Bypass L Ventricle to R Pulm Art w Zooplastic, Open",Genetta;genetta,2/10/2022,Nico Tavernor
Striped hyena,"Bypass R Vas Deferens to L Vas Def w Nonaut Sub, Perc Endo",Hyaena;hyaena,12/19/2021,Shaylyn Michelin
Eastern indigo snake,"Supplement L Abd Tendon with Autol Sub, Perc Endo Approach",Drymarchon;corias;couperi,6/15/2021,Marisa Rutherford
"Trumpeter, dark-winged","Excision of Radial Nerve, Percutaneous Approach",Psophia;viridis,3/10/2022,Sapphira Brabbins
Lesser flamingo,Wound Mgmt Trmt Integu Low Back/LE w Assist Equip,Phoeniconaias;minor,3/20/2022,Sandra Bonny
African pied wagtail,"Revision of Nonaut Sub in R Humeral Head, Perc Approach",Motacilla;aguimp,2/21/2022,Justino Churchman
Sage hen,"Fusion of Left Ankle Joint with Int Fix, Perc Endo Approach",Centrocercus;urophasianus,8/4/2021,Roze Seid
Gila monster,"Excision of Left Middle Ear, Open Approach",Heloderma;horridum,9/12/2021,Heindrick Bunt
"Armadillo, seven-banded","Dilate R Com Carotid w 2 Intralum Dev, Perc Endo",Dasypus;septemcincus,8/16/2021,Angela Rown
Giant girdled lizard,"Replacement of L Up Femur with Nonaut Sub, Open Approach",Cordylus;giganteus,1/23/2022,Ashleigh Kermit
Three-banded plover,"Dilation of Esophageal Vein with Intralum Dev, Perc Approach",Charadrius;tricollaris,8/12/2021,Curt Koles
Pygmy possum,"Release Left Sphenoid Sinus, Open Approach",Acrobates;pygmaeus,11/23/2021,Ingrim Lars
Desert kangaroo rat,"Revision of Synth Sub in L Carpal, Extern Approach",Dipodomys;deserti,4/7/2022,Aleen Creffeild
Little brown dove,"Reposition Lower Artery, Percutaneous Endoscopic Approach",Streptopelia;senegalensis,4/16/2021,Alf Brooksbank
Yellow-brown sungazer,"Irrigation of Indwell Dev using Irrigat, Extern Approach",Cordylus;giganteus,7/6/2021,Horacio Symson
Black-capped chickadee,Neuromotor Development Assessment of Neuro Low Back/LE,Parus;atricapillus,2/10/2022,Ax Wotton
"Egret, cattle","Removal of Nonaut Sub from Thor Jt, Open Approach",Bubulcus;ibis,10/15/2021,Odelia Jeanet
"Waxbill, violet-eared","Inspection of Right Knee Region, Open Approach",Uraeginthus;granatina,12/3/2021,Crystal Lacoste
"Macaque, bonnet","Removal of Int Fix from R Finger Phalanx, Open Approach",Macaca;radiata,10/5/2021,Nil Guitton
Ornate rock dragon,"Destruction of Superior Mesenteric Artery, Perc Approach",Ctenophorus;ornatus,4/4/2022,Danica Cleator
"Duck, comb","Insert Singl Array Stim Gen in Chest Subcu/Fascia, Open",Sarkidornis;melanotos,11/10/2021,Carry Mularkey
Desert tortoise,"Transfer Right Shoulder Tendon, Perc Endo Approach",Gopherus;agassizii,6/17/2021,Steve Raveau
African polecat,"Excision of Urethra, Percutaneous Approach",Ictonyx;striatus,3/5/2022,Jeffrey Guilliland
Steller sea lion,"Drainage of Lower Jaw, Open Approach",Eumetopias;jubatus,7/31/2021,Mela Minci
Musk ox,Planar Nucl Med Imag Up Chest Lymph w Oth Radionuclide,Ovibos;moschatus,1/30/2022,Gill Yarrow
Lilac-breasted roller,"Revision of Ext Fix in L Humeral Head, Open Approach",Coracias;caudata,7/19/2021,Anette St. Clair
Asian water buffalo,"Reposition Left Upper Femur with Ring Ext Fix, Perc Approach",Bubalus;arnee,11/20/2021,Moira Cubbin
Common wolf,"Reposition Left Acetabulum, External Approach",Canis;lupus,9/9/2021,Diannne Endle
"Starling, red-shouldered glossy","Drain R Shoulder Tendon w Drain Dev, Perc Endo",Lamprotornis;nitens,5/21/2021,Norris Bravington
"Dragon, ornate rock","Extraction of Left Hand Bursa and Ligament, Perc Approach",Ctenophorus;ornatus,11/6/2021,Lynnett Campos
"Plover, three-banded","Supplement Pulmonary Valve with Nonaut Sub, Perc Approach",Charadrius;tricollaris,1/26/2022,Blair Polglase
"Cormorant, javanese","Excision of Right Lung, Endo",Phalacrocorax;niger,8/1/2021,Allys Warlaw
"Jackal, indian","Revision of Ext Fix in R Up Femur, Perc Endo Approach",Canis;aureus,8/1/2021,Engracia Chipman
"Buffalo, wild water","Dilate Innom Art, Bifurc, w 4+ Intralum Dev, Perc Endo",Bubalus;arnee,9/1/2021,Chastity Santry
"Squirrel, thirteen-lined","Excision of Left Upper Arm Skin, External Approach, Diagn",Spermophilus;tridecemlineatus,4/26/2021,Geraldine McGeechan
"Deer, barasingha","Bypass R Ureter to Ileocutan with Synth Sub, Open Approach",Cervus;duvauceli,2/13/2022,Eolanda Storer
"Stork, jabiru","Release Left Hip Tendon, Percutaneous Endoscopic Approach",Ephippiorhynchus;mycteria,10/11/2021,Hedda Ahmad
Antelope ground squirrel,Bathing/Showering Techniques Treatment using Prosthesis,Ammospermophilus;nelsoni,10/23/2021,Ellery Sabine
"Skimmer, four-spotted","Supplement L Knee Jt with Synth Sub, Perc Endo Approach",Libellula;quadrimaculata,6/25/2021,Noelle Cudworth
Greater roadrunner,"Release Lower Lip, External Approach",Geococcyx;californianus,11/23/2021,Ly Cranstone
Anaconda (unidentified),"Occlusion of Right External Iliac Vein, Perc Endo Approach",Eunectes;sp.,4/9/2022,Templeton Culbert
Cougar,"Drainage of Common Bile Duct, Open Approach, Diagnostic",Felis;concolor,2/5/2022,Helge Shellibeer
Hyrax,"Bypass Left Atrium to Right Pulmonary Artery, Open Approach",Dendrohyrax;brucel,11/1/2021,Anderson Ruck
American beaver,"Chiropractic Manipulation of Rib Cage, Indirect Visceral",Castor;canadensis,3/13/2022,John Sircombe
Asian red fox,"Fusion Occip Jt w Nonaut Sub, Ant Appr A Col, Perc",Vulpes;vulpes,7/30/2021,Cordi Balharry
"Gull, lava","Alteration of Neck with Nonaut Sub, Perc Endo Approach",Larus;fuliginosus,9/4/2021,Tobias Mibourne
African pied wagtail,"Removal of Autol Sub from Thor Vertebra, Open Approach",Motacilla;aguimp,6/28/2021,Jaclyn Wilmington
Platypus,"Extirpation of Matter from Thor Symp Nrv, Open Approach",Ornithorhynchus;anatinus,11/27/2021,Whitby Keddey
"Boubou, southern","Dilate of L Peroneal Art with 2 Intralum Dev, Perc Approach",Laniarius;ferrugineus,3/30/2022,Peta Scandrite
Silver-backed fox,"Nuclear Medicine, Veins, Planar Nuclear Medicine Imaging",Vulpes;chama,1/8/2022,Wilhelm Hawke
American black bear,"Repair Left Occipital Bone, Open Approach",Ursus;americanus,7/4/2021,Cleopatra Dragonette
"Wombat, southern hairy-nosed","Bypass Abdominal Aorta to B Int Ilia, Perc Endo Approach",Lasiorhinus;latifrons,12/8/2021,Armando Roubert
"Lemur, lesser mouse","Excision of Right External Iliac Artery, Perc Approach",Microcebus;murinus,7/20/2021,Randi Bru
Sarus crane,"Repair Cervicothoracic Vertebral Joint, Perc Endo Approach",Grus;antigone,3/20/2022,Kissie Varnes
White-nosed coatimundi,"Replacement of Larynx with Nonaut Sub, Via Opening",Nasua;narica,1/3/2022,Hedvig Elcum
"Rat, desert kangaroo",HDR Brachytherapy of Brain Stem using Palladium 103,Dipodomys;deserti,9/22/2021,Scott Iacobo
Blue peacock,"CT Scan of Mult Cor Art using H Osm Contrast, Unenh, Enhance",Pavo;cristatus,12/22/2021,Pippo Whitfeld
Banded mongoose,"Repair Left Lower Leg Tendon, Percutaneous Approach",Mungos;mungo,3/16/2022,Josh Hadaway
"Eagle, bateleur","Removal of Int Fix from R Metacarpophal Jt, Perc Approach",Terathopius;ecaudatus,6/25/2021,Bonny Adderson
European red squirrel,"Removal of Autol Sub from Occip Jt, Perc Endo Approach",Sciurus;vulgaris,5/12/2021,Herb Newcombe
Aardwolf,"Removal of Intralum Dev from Great Vessel, Perc Approach",Proteles;cristatus,2/10/2022,Gae Spalls
"Plover, blacksmith","Release Left External Auditory Canal, External Approach",Vanellus;armatus,2/26/2022,Lorain Double
Small-clawed otter,"Extirpation of Matter from Low Tooth, Sing, Extern Approach",Aonyx;cinerea,4/18/2021,Trev Gleaves
Cottonmouth,"Insertion of VAD into L Low Leg Subcu/Fascia, Perc Approach",Agkistrodon;piscivorus,10/1/2021,Jonathan Gradwell
Antelope ground squirrel,"Supplement R Temporal Art with Synth Sub, Perc Endo Approach",Ammospermophilus;nelsoni,8/21/2021,Mikaela Wasielewski
"Flamingo, roseat","Destruction of Left Occipital Bone, Open Approach",Phoenicopterus;ruber,10/27/2021,Ricky Dumphries
Impala,"Excision of R Tunica Vaginalis, Perc Endo Approach, Diagn",Aepyceros;mylampus,6/6/2021,Elly Stode
"Caiman, spectacled","Restriction of Ampulla of Vater, Percutaneous Approach",Caiman;crocodilus,7/9/2021,Carlotta Pittwood
